"state","population_2009","population_2016","population_difference","state_population_percent_of_national_total_09","state_population_percent_of_national_total_16","percentage_point_diff"
"Alabama","1819441","1851061","31620","1.61929160285483736600","1.57618006675443313300","-0.04311153610040423300"
"Alaska","234779","250235","15456","0.20895190513276103000","0.21307532220942236600","0.00412341707666133600"
"Arizona","2248170","2448919","200749","2.00085784743234857300","2.08525667868114537200","0.08439883124879679900"
"Arkansas","1109635","1141480","31845","0.98756851018187864300","0.97197122223354623800","-0.01559728794833240500"
"California","12187191","12807387","620196","10.84652706445993481000","10.90550127554405775800","0.05897421108412294800"
"Colorado","1869276","2051616","182340","1.66364445465287358700","1.74695282534420156100","0.08330837069132797400"
"Connecticut","1327482","1354713","27231","1.18145103663210030800","1.15353930895475533900","-0.02791172767734496900"
"Delaware","325160","348051","22891","0.28939045431221947700","0.29636573209307916200","0.00697527778085968500"
"Florida","7076539","7393262","316723","6.29807736550664075300","6.29536908437540081700","-0.00270828113123993600"
"Georgia","3417298","3611706","194408","3.04137477162086048400","3.07537083012250091800","0.03399605850164043400"
"Hawaii","437976","452030","14054","0.38979601924544420500","0.38490394188792611900","-0.00489207735751808600"
"Idaho","552726","596107","43381","0.49192283260602725700","0.50758563388931260000","0.01566280128328534300"
"Illinois","4749388","4802124","52736","4.22692690067967597000","4.08901280232421592500","-0.13791409835546004500"
"Indiana","2468006","2513828","45822","2.19651057198082034400","2.14052674917204950800","-0.05598382280877083600"
"Iowa","1215970","1242641","26671","1.08220602389601893800","1.05810990255415437000","-0.02409612134186456800"
"Kansas","1093694","1115858","22164","0.97338111556940758100","0.95015406673711360500","-0.02322704883229397600"
"Kentucky","1674738","1718217","43479","1.49050679872658944200","1.46306328411575946700","-0.02744351461082997500"
"Louisiana","1644094","1731398","87304","1.46323382209372053500","1.47428691718884035600","0.01105309509511982100"
"Maine","542617","551109","8492","0.48292588309611759200","0.46926979738051252200","-0.01365608571560507000"
"Maryland","2092538","2177492","84954","1.86234629870089531400","1.85413634986488511800","-0.00820994883601019600"
"Massachusetts","2465654","2558889","93235","2.19441730605468447200","2.17889623023616436500","-0.01552107581852010700"
"Michigan","3860160","3860394","234","3.43551930162952742400","3.28712888047363816700","-0.14839042115588925700"
"Minnesota","2061882","2135310","73428","1.83506264213983183700","1.81821833982856783900","-0.01684430231126399800"
"Mississippi","1085836","1098803","12967","0.96638754258999615000","0.93563171926261284200","-0.03075582332738330800"
"Missouri","2322238","2372362","50124","2.06677792422530426400","2.02006832596315329200","-0.04670959826215097200"
"Montana","372947","412653","39706","0.33192059836504895200","0.35137439181443350400","0.01945379344938455200"
"Nebraska","702637","741581","38944","0.62534272557071889800","0.63145687261728234600","0.00611414704656344800"
"Nevada","944178","1030701","86523","0.84031277024112056100","0.87764280646821524800","0.03733003622709468700"
"New Hampshire","502201","521373","19172","0.44695588493680321600","0.44394956727193704900","-0.00300631766486616700"
"New Jersey","3152877","3195014","42137","2.80604166385947720700","2.72055722626177550100","-0.08548443759770170600"
"New Mexico","736630","762551","25921","0.65559629216388926500","0.64931284602920149000","-0.00628344613468777500"
"New York","7137013","7266187","129174","6.35189886364318018100","6.18716461030198044400","-0.16473425334119973700"
"North Carolina","3541807","3815392","273585","3.15218703658567822000","3.24880963796132603900","0.09662260137564781900"
"North Dakota","273035","305163","32128","0.24299951621705266600","0.25984656243688515800","0.01684704621983249200"
"Ohio","4526164","4601449","75285","4.02825887640427038400","3.91813786362908601300","-0.11012101277518437100"
"Oklahoma","1405005","1461500","56495","1.25044604275107616700","1.24446853321506099700","-0.00597750953601517000"
"Oregon","1464196","1545745","81549","1.30312567856481273700","1.31620322468321208400","0.01307754611839934700"
"Pennsylvania","4893127","4961929","68802","4.35485375057629337500","4.22508690013498077100","-0.12976685044131260400"
"Rhode Island","404227","410240","6013","0.35975961119223011000","0.34931972019578968400","-0.01043989099644042600"
"South Carolina","1693388","1839041","145653","1.50710518712898485700","1.56594502620072459100","0.05883983907173973400"
"South Dakota","314674","333536","18862","0.28005797705819704700","0.28400619684872978800","0.00394821979053274100"
"Tennessee","2412567","2522204","109637","2.14717019371591957000","2.14765892052628101700","0.00048872681036144700"
"Texas","8269046","9289554","1020508","7.35940145980022517900","7.91006338734321090800","0.55066192754298572900"
"Utah","831563","918367","86804","0.74008609410515489300","0.78199030683757504100","0.04190421273242014800"
"Vermont","250375","257107","6732","0.22283225180963818300","0.21892683624312329000","-0.00390541556651489300"
"Virginia","2936634","3090178","153544","2.61358668781126317000","2.63128928021447195400","0.01770259240320878400"
"Washington","2512327","2696606","184279","2.23595599677345129300","2.29616237665339225000","0.06020637987994095700"
"West Virginia","746419","739397","-7022","0.66430844358861037600","0.62959719469970335700","-0.03471124888890701900"
"Wisconsin","2246512","2310246","63734","1.99938223735346537800","1.96717649742453767200","-0.03220573992892770600"
"Wyoming","208269","226985","18716","0.18535816376292175600","0.19327792679563504600","0.00791976303271329000"
